Date,Away_Team,Home_Team,Game_Status,Away_Win_Prob,Home_Win_Prob,Away_Proj_Runs,Home_Proj_Runs,Proj_Total,Pinnacle_Away_ML,Pinnacle_Home_ML,Pinnacle_Total_Line,Away_EV,Away_Kelly,Home_EV,Home_Kelly,Over_EV,Over_Kelly,Under_EV,Under_Kelly,Actual_Away_Runs,Actual_Home_Runs,Actual_Total,Lineups_Confirmed
2026-09-13,CLE,MIN,Final,47.0,53.0,4.27,4.46,8.7,114,-126,8.0,0.6,,-4.9,,13.7,,-18.7,,9,2,11,N/A
2026-09-13,COL,DET,Final,39.3,60.7,4.47,5.21,9.7,135,-147,9.0,-7.6,,2.0,,12.4,,-16.5,,1,8,9,N/A
2026-09-13,HOU,TBR,Final,54.2,45.8,4.51,4.22,8.7,120,-130,8.0,19.2,,-19.0,,14.9,,-18.9,,4,14,18,N/A
2026-09-13,KCR,BOS,Final,36.7,63.3,3.9,4.79,8.7,158,-172,7.5,-5.3,,0.1,,28.3,,-32.1,,1,4,5,N/A
2026-09-13,LAA,WSN,Final,32.5,67.5,4.74,6.02,10.8,106,-114,9.0,-33.0,,26.7,,30.9,,-37.9,,5,6,11,N/A
2026-09-13,LAD,MIA,Final,57.8,42.2,4.79,4.28,9.1,-145,133,8.5,-2.3,,-1.7,,10.6,,-15.5,,4,6,10,N/A
2026-09-13,NYM,NYY,Final,30.6,69.4,3.09,4.29,7.4,157,-172,7.5,-21.4,,9.7,,-14.8,,9.6,,0,2,2,N/A
2026-09-13,PHI,ATL,Final,33.2,66.8,3.91,5.06,9.0,115,-124,9.0,-28.6,,20.7,,-6.3,,1.3,,9,4,13,N/A
2026-09-13,PIT,CHC,Final,38.0,62.0,4.79,5.69,10.5,126,-136,7.0,-14.1,,7.6,,76.5,,-73.9,,4,3,7,N/A
2026-09-13,SDP,SFG,Final,54.5,45.5,4.06,3.81,7.9,-120,110,7.0,-0.1,,-4.4,,15.5,,-20.7,,6,4,10,N/A
2026-09-13,SEA,OAK,Final,54.3,45.7,4.4,4.13,8.5,-136,125,9.5,-5.8,,2.8,,-34.6,,31.0,,7,8,15,N/A
2026-09-13,TEX,ARI,Final,38.9,61.1,3.36,4.01,7.4,126,-139,8.0,-12.1,,5.1,,-25.7,,21.0,,7,6,13,N/A
2026-09-14,ATL,CHC,Final,50.1,49.9,5.23,5.2,10.4,118,-128,9.5,9.2,,-11.1,,18.2,,-23.0,,3,7,10,N/A
2026-09-14,BAL,NYM,Final,56.1,43.9,4.48,4.1,8.6,127,-138,8.0,27.3,,-24.3,,5.1,,-10.3,,2,1,3,N/A
2026-09-14,CHW,CLE,Final,59.1,40.9,4.21,3.63,7.8,110,-121,8.5,24.1,,-25.3,,-25.8,,19.2,,7,3,10,N/A
2026-09-14,DET,TOR,Final,61.4,38.6,4.03,3.34,7.4,125,-135,7.5,38.1,,-32.8,,-10.5,,4.7,,6,5,11,N/A
2026-09-14,LAD,CIN,Final,79.4,20.6,5.87,3.66,9.5,-220,194,8.5,15.5,,-39.4,,20.0,,-25.9,,4,1,5,N/A
2026-09-14,MIA,ARI,Final,51.3,48.7,4.29,4.2,8.5,116,-125,8.5,10.8,,-12.3,,-4.6,,-0.9,,7,8,15,N/A
2026-09-14,NYY,MIN,Final,61.4,38.6,5.26,4.44,9.7,-121,111,8.0,12.1,,-18.6,,31.6,,-38.7,,8,3,11,N/A
2026-09-14,SDP,COL,Final,63.0,37.0,6.81,5.77,12.6,-209,190,11.0,-6.9,,7.3,,25.0,,-31.1,,8,7,15,N/A
2026-09-14,SEA,LAA,Final,44.9,55.1,3.82,4.11,7.9,-105,-103,7.5,-12.3,,8.6,,2.5,,-8.8,,4,6,10,N/A
2026-09-14,SFG,STL,Final,44.6,55.4,4.02,4.37,8.4,132,-144,8.0,3.5,,-6.1,,5.9,,-10.5,,1,2,3,N/A
2026-09-15,ATL,CHC,Final,54.6,45.4,4.9,4.59,9.5,127,-138,8.5,23.9,,-21.7,,18.0,,-23.5,,6,3,9,N/A
2026-09-15,BAL,NYM,Final,56.3,43.7,4.58,4.19,8.8,116,-126,8.0,21.6,,-21.6,,10.9,,-16.2,,7,5,12,N/A
2026-09-15,BOS,TEX,Final,50.8,49.2,4.15,4.13,8.3,123,-133,7.5,13.3,,-13.8,,9.9,,-16.7,,2,4,6,N/A
2026-09-15,CHW,CLE,Final,53.7,46.3,4.29,4.06,8.4,139,-151,8.5,28.3,,-23.0,,-16.2,,12.2,,6,7,13,N/A
2026-09-15,DET,TOR,Final,57.8,42.2,4.25,3.77,8.0,126,-137,8.0,30.6,,-27.0,,-10.1,,5.7,,10,1,11,N/A
2026-09-15,KCR,HOU,Final,50.4,49.6,4.07,4.08,8.2,144,-157,8.0,23.0,,-18.8,,0.2,,-4.8,,2,4,6,N/A
2026-09-15,LAD,CIN,Final,86.2,13.8,6.39,3.41,9.8,-232,209,8.5,23.4,,-57.4,,26.4,,-31.5,,4,0,4,N/A
2026-09-15,MIA,ARI,Final,40.5,59.5,4.0,4.59,8.6,130,-141,8.5,-6.9,,1.7,,-8.3,,2.7,,4,2,6,N/A
2026-09-15,MIL,PIT,Final,69.9,30.1,4.82,3.5,8.3,-199,181,7.5,5.0,,-15.4,,21.6,,-24.9,,5,1,6,N/A
2026-09-15,NYY,MIN,Final,68.9,31.1,4.88,3.62,8.5,-164,150,7.5,10.9,,-22.3,,20.7,,-25.7,,8,1,9,N/A
2026-09-15,OAK,TBR,Final,29.3,70.7,4.27,5.83,10.1,196,-217,8.0,-13.3,,3.3,,37.3,,-45.6,,1,2,3,N/A
2026-09-15,PHI,WSN,Final,61.7,38.3,5.11,4.31,9.4,-209,190,8.0,-8.8,,11.1,,27.0,,-33.3,,3,6,9,N/A
2026-09-15,SDP,COL,Final,65.9,34.1,7.43,6.09,13.5,-189,173,11.0,0.8,,-6.9,,46.8,,-50.6,,3,9,12,N/A
2026-09-15,SEA,LAA,Final,60.5,39.5,4.58,3.89,8.5,-164,151,8.0,-2.6,,-0.9,,2.6,,-7.6,,1,2,3,N/A
